playerID,"CONCAT(Player.nameFirst, ' ', Player.nameLast)",birthCountry,max_salary,teamID
bautide01,"Denny Bautista",D.R.,395000,KCA
bautijo01,"Jose Bautista",D.R.,790000,BAL
bautijo02,"Jose Bautista",D.R.,14000000,BAL
baxtemi01,"Mike Baxter",USA,700000,SDN
bayja01,"Jason Bay",CAN,18125000,PIT
baylijo01,"Jonah Bayliss",USA,384000,PIT
baylodo01,"Don Baylor",USA,810000,NYA
bazaryo01,"Yorman Bazardo",Venezuela,400000,DET
beachbr01,"Brandon Beachy",USA,2750000,ATL
beamotr01,"Trey Beamon",USA,187500,DET
beanbi01,"Bill Bean",USA,145000,SDN
beanebi01,"Billy Beane",USA,70500,MIN
beardda01,"Dave Beard",USA,90000,DET
bearske01,"Kevin Bearse",USA,100000,CLE
beatope01,"Pedro Beato",D.R.,487500,NYN
beattji01,"Jim Beattie",USA,575000,SEA
beavabl01,"Blake Beavan",USA,506700,SEA
beckejo02,"Josh Beckett",USA,17000000,FLO
beckeri01,"Rich Becker",USA,1550000,MIN
beckhgo01,"Gordon Beckham",USA,4175000,CHA
beckhti01,"Tim Beckham",USA,508100,TBA
beckro01,"Rod Beck",USA,5500000,SFN
beckwjo01,"Joe Beckwith",USA,358000,KCA
bedarer01,"Erik Bedard",CAN,7750000,BAL
bedrost01,"Steve Bedrosian",USA,1450000,ATL
beechma01,"Matt Beech",USA,215000,PHI
beeleda01,"Dallas Beeler",USA,508000,CHN
beimejo01,"Joe Beimel",USA,2000000,PIT
beirnke01,"Kevin Beirne",USA,223000,TOR
belchke01,"Kevin Belcher",USA,100000,TEX
belchti01,"Tim Belcher",USA,4650000,LAN
belinst01,"Stan Belinda",USA,1600000,PIT
belisma01,"Matt Belisle",USA,4250000,CIN
belisro01,"Ronald Belisario",Venezuela,3000000,LAN
belivje01,"Jeff Beliveau",USA,513600,TBA
bellbu01,"Buddy Bell",USA,870000,CIN
bellda01,"David Bell",USA,4700000,SLN
bellde01,"Derek Bell",USA,5000000,TOR
belleal01,"Albert Belle",USA,13000000,CLE
beller01,"Eric Bell",USA,157500,BAL
bellge02,"George Bell",D.R.,3650000,TOR
bellhe01,"Heath Bell",USA,10000000,SDN
bellhma01,"Mark Bellhorn",USA,2750000,OAK
bellicl01,"Clay Bellinger",USA,230000,NYA
bellira01,"Rafael Belliard",D.R.,800000,PIT
belliro01,"Ronnie Belliard",USA,4000000,MIL
bellja01,"Jay Bell",USA,8050000,CLE
bellju01,"Juan Bell",D.R.,200000,BAL
bellmi01,"Mike Bell",USA,100000,ATL
bellro01,"Rob Bell",USA,800000,CIN
belowdu01,"Duane Below",USA,482000,DET
beltbr01,"Brandon Belt",USA,3600000,SFN
beltrad01,"Adrian Beltre",D.R.,17000000,LAN
beltrca01,"Carlos Beltran",P.R.,19401569,KCA
beltres01,"Esteban Beltre",D.R.,200000,TEX
beltrfr01,"Francis Beltran",D.R.,318500,WAS
beltrom01,"Omar Beltre",D.R.,415000,TEX
beltrri01,"Rigo Beltran",Mexico,215000,SLN
benarma01,"Marvin Benard",Nicaragua,4200000,SFN
