playerID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,AVG,SLG
alfoned01,1506,5385,777,1532,282,18,146,744,53,17,596,617,22,41,31,55,110,0.28449396471680594,0.42488393686165277
alfonel01,193,591,44,142,24,3,17,67,1,2,17,158,9,9,4,3,17,0.24027072758037224,0.377326565143824
alicelu01,1341,3971,551,1031,189,53,47,422,81,50,500,624,25,48,49,45,74,0.25963233442457817,0.36942835557794007
allanan01,512,1486,145,357,48,4,16,140,23,18,87,223,4,9,35,16,27,0.24024226110363392,0.310228802153432
allarbr01,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
allenbe01,1139,3404,357,815,140,21,73,351,13,16,370,424,52,8,24,17,60,0.23942420681551116,0.3572267920094007
allenbo01,606,2211,337,532,77,44,14,306,53,0,297,209,0,13,3,0,0,0.24061510628674807,0.3342379014020805
allenbo02,9,22,3,3,1,0,0,0,0,0,3,7,0,1,0,0,0,0.13636363636363635,0.18181818181818182
allenbo03,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333333333333333,0.3333333333333333
allenbo04,204,31,0,4,1,0,0,0,0,0,1,16,0,0,2,0,0,0.12903225806451613,0.16129032258064516
allenbr01,116,344,44,70,19,2,12,41,3,0,42,137,6,1,0,2,4,0.20348837209302326,0.375
allench01,267,851,102,229,44,8,14,84,15,13,63,173,2,4,5,5,22,0.2690951821386604,0.3889541715628672
allenco01,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
allendi01,1749,6332,1099,1848,320,79,351,1119,133,52,894,1556,138,16,19,53,164,0.29185091598231205,0.5336386607706886
allendu01,27,28,5,7,2,0,2,2,0,0,4,12,0,0,0,0,1,0.25,0.5357142857142857
allenet01,1281,4418,623,1325,255,45,47,501,84,4,223,310,0,14,110,0,38,0.29990946129470347,0.40991398822996833
allenfr01,181,288,23,39,8,6,2,25,1,0,35,126,0,1,14,0,0,0.13541666666666666,0.22569444444444445
allenga01,416,1061,114,235,49,2,19,131,3,7,130,192,3,5,15,11,35,0.22148916116870876,0.32516493873704055
