playerID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
alvaror01,25,51,4,8,2,0,2,8,0,0,0,5,0,0,0,0,0
alvaros01,95,198,20,42,3,0,0,5,1,1,16,27,0,0,5,0,1
alvarpe01,742,2500,300,590,108,6,131,401,14,3,259,809,30,11,1,13,63
alvarrj01,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alvarro01,17,37,2,7,0,0,0,2,0,0,1,13,0,0,0,0,0
alvarta01,19,16,1,2,0,0,0,0,0,0,0,5,0,0,3,0,0
alvarto01,38,64,11,16,4,0,2,10,1,0,7,12,0,1,1,2,1
alvarvi01,9,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
alvarwi01,355,95,6,13,0,0,0,1,0,0,4,33,0,0,5,0,4
alvisma01,1013,3629,421,895,142,22,111,373,43,46,262,662,25,35,36,22,70
alvorbi01,265,1069,129,270,31,30,3,109,27,0,44,83,0,1,0,0,0
alyeabr01,371,866,100,214,33,2,38,148,5,7,100,210,7,6,0,10,36
amalfjo01,643,1715,248,418,67,19,9,123,19,26,185,224,9,12,17,8,37
amarari01,727,1788,305,493,82,10,11,159,112,39,176,277,1,16,29,13,37
amarial01,541,1442,140,328,55,16,18,139,29,8,94,231,11,4,21,14,22
amaroru01,940,2155,211,505,75,13,8,156,11,14,227,280,24,10,47,12,53
amaroru02,485,927,99,218,43,9,16,100,15,10,88,128,2,16,11,8,22
amblewa01,271,782,60,175,39,2,0,73,4,1,83,64,0,0,25,0,10
ambrech01,80,189,28,44,9,0,4,10,4,2,23,48,1,2,3,1,5
ambrihe01,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amelued01,42,57,7,11,0,0,0,4,3,2,2,8,0,0,1,0,2
amesre01,533,1014,52,143,10,7,3,63,5,1,61,204,0,0,47,0,0
amesst01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amezaal01,584,1408,173,348,47,19,12,110,49,26,112,223,7,14,28,8,21
amoledo01,18,48,5,5,0,0,0,5,0,0,2,0,0,2,0,0,0
amorosa01,517,1311,215,334,55,23,43,180,18,15,211,189,16,11,18,7,23
amorvi01,13,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
anckewa01,4,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
anderal01,126,390,56,93,11,3,1,17,6,0,33,49,0,1,5,0,7
anderal02,150,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
anderan01,122,223,23,41,8,1,2,17,0,1,22,36,0,0,3,0,11
anderbi01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderbo01,247,246,18,33,2,1,2,12,0,0,10,107,0,2,15,1,2
anderbr01,1834,6499,1062,1661,338,67,210,761,315,100,960,1190,59,154,74,50,65
anderbr02,308,255,15,35,5,3,1,10,2,0,7,57,0,1,22,3,5
anderbr03,355,799,108,181,47,1,22,80,13,14,65,208,2,8,7,4,15
anderbr04,123,65,1,6,3,0,0,4,0,0,5,41,0,0,10,0,2
anderbr05,40,68,4,15,4,0,0,7,1,0,4,19,0,2,1,2,1
anderbu01,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderch01,50,82,0,6,0,0,0,3,0,0,1,37,0,1,14,0,2
anderco01,15,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
andercr01,82,47,4,7,1,0,0,0,0,0,1,14,0,0,3,0,0
anderda01,21,62,6,6,1,0,0,0,0,0,1,15,0,2,0,0,0
anderda02,873,2026,244,490,73,12,19,143,49,30,206,331,17,5,37,13,49
anderdr01,9,9,3,1,0,0,0,0,0,0,1,4,0,0,0,0,0
anderdw01,149,306,33,62,6,2,1,14,2,2,32,70,2,2,2,0,6
anderfe01,97,234,20,61,12,0,2,15,1,0,18,25,0,4,7,0,6
anderfr01,180,312,17,41,6,1,0,12,0,0,10,98,0,1,13,0,0
anderga01,2228,8640,1084,2529,522,36,287,1365,80,47,429,1224,104,8,13,87,197
anderge01,269,1007,148,289,40,17,5,69,36,0,98,111,0,15,19,0,0
andergo01,127,413,73,85,3,1,1,12,27,0,80,0,0,6,11,0,0
anderha01,9,32,4,8,0,0,0,2,0,1,0,1,0,0,1,0,0
anderha02,484,1586,199,419,82,16,60,242,3,6,159,291,32,16,9,15,29
anderja01,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderji01,419,970,107,211,35,2,13,86,9,13,81,130,2,5,29,6,23
anderji02,122,170,11,23,3,0,0,6,0,0,8,44,0,0,15,0,1
anderjo01,1635,6341,870,1841,328,124,49,976,338,0,310,55,0,53,64,0,0
anderjo02,24,5,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
anderjo03,179,486,73,132,17,5,4,47,36,7,26,82,2,4,2,1,8
anderke01,135,366,43,95,12,2,1,22,1,4,30,61,1,2,10,1,8
anderla01,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderla02,699,38,4,5,0,0,0,0,0,0,3,15,0,0,4,0,0
anderla03,30,48,7,8,1,0,0,4,0,0,7,14,0,0,0,1,1
anderma01,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderma02,1151,3204,392,849,174,20,63,371,71,24,227,471,28,15,31,31,60
andermi01,721,1490,159,367,67,11,28,134,8,12,161,343,25,4,7,13,32
andermi02,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderre01,36,39,1,11,0,1,0,1,0,0,2,12,0,0,2,0,0
anderri01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderri02,28,11,1,1,0,0,0,0,0,0,0,4,0,0,1,0,0
andersc01,18,4,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
andersp01,152,477,42,104,9,3,0,34,6,9,42,53,1,1,5,2,15
anderva01,41,114,25,34,3,3,0,18,0,0,10,12,0,1,1,0,0
anderwa01,17,11,0,3,0,0,0,0,0,0,1,6,0,0,1,0,0
anderwi01,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
andinro01,468,1320,157,306,58,1,18,96,24,12,113,309,2,6,21,7,42
andrast01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andrecl01,8,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
andreed01,774,3233,602,830,117,26,12,278,205,0,194,245,0,9,0,0,0
andreel01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andreer01,15,41,0,4,2,0,0,1,0,0,3,5,0,0,0,0,1
andrefr01,16,29,4,8,0,1,0,2,2,1,3,5,0,1,0,1,1
andrehu01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andreiv01,253,319,26,59,9,0,0,29,0,0,18,62,0,0,17,0,0
andreji01,53,202,32,38,4,2,3,17,11,0,23,41,0,2,0,0,0
andrejo01,22,9,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
andrejo02,16,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
andreki01,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
andremi01,893,3116,441,803,140,4,66,316,18,25,458,390,12,16,72,23,50
andrena01,128,240,8,35,5,0,0,16,0,0,23,66,0,0,19,0,2
andrero01,493,1454,174,365,30,15,3,91,33,16,148,121,6,0,27,12,35
andresh01,569,1704,196,375,76,4,86,263,7,10,191,515,17,7,3,19,35
andrest01,70,149,11,32,2,1,1,12,2,0,8,16,0,1,0,0,3
andrewa01,40,142,22,28,11,4,0,14,5,0,17,0,0,0,0,0,0
andrima01,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andrubi01,6,9,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
andruel01,1074,4119,573,1113,176,30,27,367,217,75,361,614,2,30,95,29,96
andrufr01,9,41,9,12,3,0,0,2,0,0,1,5,0,0,0,0,0
andruwi01,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
andujjo01,407,607,31,77,12,2,5,38,7,3,30,315,0,0,51,1,7
andujlu01,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angelno01,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anglema01,31,79,12,14,4,0,1,7,11,1,12,13,0,1,3,0,0
angleto01,5,16,1,4,1,0,0,6,0,0,2,2,0,0,3,0,0
ankenpa01,15,29,2,7,1,0,0,3,0,0,0,5,0,0,2,0,1
ankieri01,653,1921,260,462,101,10,76,251,21,12,162,555,13,12,8,12,31
